Date,Zone,Area_Type,Water_Supplied,Water_Consumed,Population
,Zone A,Residential,481.49,481.49,50000
,Zone B,Commercial,455.063,455.063,60000
,Zone C,Industrial,482.7492308,482.7492308,70000
,Zone A,Residential,452.66,452.66,50000
,Zone B,Commercial,634.566,634.566,60000
,Zone C,Industrial,458.077,458.077,70000
,Zone A,Residential,452.9833333,452.9833333,50000
,Zone B,Commercial,691.1025,691.1025,60000
,Zone C,Industrial,494.048,494.048,70000
,Zone A,Residential,637.8783333,637.8783333,50000
,Zone B,Commercial,502.875,502.875,60000
,Zone C,Industrial,535.336875,535.336875,70000
,Zone A,Residential,556.4116667,556.4116667,50000
,Zone B,Commercial,505.6286667,505.6286667,60000
,Zone C,Industrial,558.1611111,558.1611111,70000
,Zone A,Residential,565.115,565.115,50000
,Zone B,Commercial,467.3180952,467.3180952,60000
,Zone C,Industrial,477.1978947,477.1978947,70000
,Zone A,Residential,649.13,649.13,50000
,Zone B,Commercial,484.1566667,484.1566667,60000
,Zone C,Industrial,582.008,582.008,70000
,Zone A,Residential,432.4683333,432.4683333,50000
,Zone B,Commercial,523.8810526,523.8810526,60000
,Zone C,Industrial,556.765,556.765,70000
,Zone A,Residential,647.79,647.79,50000
,Zone B,Commercial,545.04,545.04,60000
,Zone C,Industrial,448.229,448.229,70000
,Zone A,Residential,488.0033333,488.0033333,50000
,Zone B,Commercial,540.81,540.81,60000
,Zone C,Industrial,503.8664286,503.8664286,70000
,Zone A,Residential,503.61,503.61,50000
,Zone B,Commercial,438.3757143,438.3757143,60000
,Zone C,Industrial,376.92375,376.92375,70000
,Zone A,Residential,511.38,511.38,50000
,Zone B,Commercial,442.79875,442.79875,60000
,Zone C,Industrial,556.146,556.146,70000
,Zone A,Residential,467.7744444,467.7744444,50000
,Zone B,Commercial,498.1664706,498.1664706,60000
,Zone C,Industrial,426.5841667,426.5841667,70000
,Zone A,Residential,538.1064286,538.1064286,50000
,Zone B,Commercial,521.4066667,521.4066667,60000
,Zone C,Industrial,446.722,446.722,70000
,Zone A,Residential,626.71625,626.71625,50000
,Zone B,Commercial,603.2993333,603.2993333,60000
,Zone C,Industrial,548.0716667,548.0716667,70000
,Zone A,Residential,484.79875,484.79875,50000
,Zone B,Commercial,659.4511111,659.4511111,60000
,Zone C,Industrial,477.698125,477.698125,70000
,Zone A,Residential,207.795,207.795,50000
,Zone B,Commercial,644.005,644.005,60000
,Zone C,Industrial,535.3028571,535.3028571,70000
,Zone A,Residential,639.0090909,639.0090909,50000
,Zone B,Commercial,433.875,433.875,60000
,Zone C,Industrial,613.36,613.36,70000
,Zone A,Residential,511.8836364,511.8836364,50000
,Zone B,Commercial,560.6266667,560.6266667,60000
,Zone C,Industrial,781.3428571,781.3428571,70000
,Zone A,Residential,642.8583333,642.8583333,50000
,Zone B,Commercial,665.5016667,665.5016667,60000
,Zone C,Industrial,498.7066667,498.7066667,70000
,Zone A,Residential,337.0366667,337.0366667,50000
,Zone B,Commercial,483.5825,483.5825,60000
,Zone C,Industrial,469.025,469.025,70000
,Zone A,Residential,562.74125,562.74125,50000
,Zone B,Commercial,559.112,559.112,60000
,Zone C,Industrial,574.5815385,574.5815385,70000
,Zone A,Residential,501.7923077,501.7923077,50000
,Zone B,Commercial,574.563,574.563,60000
,Zone C,Industrial,287.1566667,287.1566667,70000
,Zone A,Residential,497.8663636,497.8663636,50000
,Zone B,Commercial,553.0541176,553.0541176,60000
,Zone C,Industrial,457.14,457.14,70000
,Zone A,Residential,417.748,417.748,50000
,Zone B,Commercial,688.2325,688.2325,60000
,Zone C,Industrial,417.18875,417.18875,70000
,Zone A,Residential,382.5146154,382.5146154,50000
,Zone B,Commercial,336.8311111,336.8311111,60000
,Zone C,Industrial,523.434,523.434,70000
,Zone A,Residential,346.3242857,346.3242857,50000
,Zone B,Commercial,397.045,397.045,60000
,Zone C,Industrial,511.832,511.832,70000
,Zone A,Residential,748.4233333,748.4233333,50000
,Zone B,Commercial,572.6066667,572.6066667,60000
,Zone C,Industrial,522.7742857,522.7742857,70000
